RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
102001,0,United States,Country,,271600,272967,279333,288667,295633,299267,299900,299600,299200,298533,297167,294233,291567,292933,297967,306333,314300,320800,322433,319800,315467,312133,307133,303267,299800,301467,306500,313000,320633,328300,335300,340300,342485,343452,342152,337897,333563,333893,340547,353913,367217,378267,381567,380322,377022,376222,375833,374500,373667,378333,388000,404333
394913,1,"New York, NY",Msa,NY,517967,523000,534333,544667,554667,560000,560000,554833,549833,549833,550000,549667,549333,549333,554667,563333,573300,578267,578267,574633,573000,574333,577667,579000,577667,579333,586000,594000,599000,601433,611733,628400,642633,649333,652667,656333,662967,668300,673300,676000,676000,670133,660467,648133,641667,638667,642333,646296,655629,667629,682000,692333
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,798667,804333,821000,838000,849666,849666,841333,824333,803000,786333,773917,762232,753566,751316,763000,779967,804633,825467,841833,848500,847667,847667,847667,849300,852567,869233,888867,890933,887267,894327,926660,956993,969230,974730,980063,990833,997667,999317,1009617,1014947,1014963,1004959,994963,977963,957967,946283,946617,949983,958333,973333,990000,998330
394463,3,"Chicago, IL",Msa,IL,301300,305967,319400,336067,346067,348600,344933,338267,330967,324933,318300,309933,303267,306600,319633,336000,345850,348183,345117,338567,331567,324933,319633,311300,306333,309967,320800,328800,332167,336633,343600,348600,349967,349667,346299,340962,332962,332997,338300,346633,353267,355600,355600,348966,341633,334933,329933,324133,320000,321333,328800,339633
394514,4,"Dallas-Fort Worth, TX",Msa,TX,341634,345000,351633,359633,365967,365667,359300,350355,343988,340655,339598,337932,334632,334633,339333,347633,354467,355793,353993,348493,344167,341000,339967,338300,334967,334000,335667,338967,343133,348133,354800,358233,359883,359250,357647,354976,352972,354609,360293,369597,379630,388300,394667,397983,399980,401058,405798,412135,419720,425327,438660,455330
394974,5,"Philadelphia, PA",Msa,PA,252630,249633,253433,260400,269733,275967,279300,278267,276267,274467,271667,266000,257833,254000,258000,267666,279167,287800,293133,293300,293333,293657,293657,290324,286300,286267,289600,294633,301333,311333,323333,333000,336333,338000,336666,333333,328300,324967,326600,333267,339933,344967,341633,336300,331267,329633,328600,325300,320300,316663,314997,318297
394692,6,"Houston, TX",Msa,TX,314804,317170,320442,325155,328623,330058,326948,322089,315799,312430,309191,307571,306113,307409,310648,315507,319556,321014,319362,315604,311458,308802,306635,304432,301938,301645,304560,307472,311584,316278,322112,326939,331023,334516,336830,335747,333811,333060,337897,345497,356494,365660,371993,373327,372298,372302,372302,371993,370993,372830,379163,388830
395209,7,"Washington, DC",Msa,DC,431660,431330,441667,452667,464667,474909,480242,476909,467000,461633,456600,449900,443233,443267,454967,471667,488167,496167,496000,489467,484800,483633,485333,483633,481633,486600,501630,513293,523293,531630,544600,551297,548630,542297,533967,528133,522165,520798,520965,528600,534967,541300,537967,532967,526933,526633,527963,529297,533293,542825,557525,573828
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,398605,398605,399950,401296,402944,403280,403583,403280,402944,402641,401296,399950,398605,398605,399614,400959,402638,403311,405329,405934,405934,404252,403650,403650,403650,403650,405332,404996,404659,402641,402978,404996,407014,408797,407565,404667,401633,399633,401300,409667,,,,,,479598,487931,494931,505000,523330,549330,577327
394347,9,"Atlanta, GA",Msa,GA,309981,314961,323627,335327,344667,349633,344933,337933,329633,324967,320963,317597,313930,313267,317133,326833,338167,344333,344633,339933,334900,330547,327247,325277,323663,323663,325667,327057,330390,336390,344333,351000,354667,356300,354633,351600,349902,350898,357565,373797,389433,400463,402630,402663,401667,400000,399999,399966,398966,397300,397333,403333
