RegionID,SizeRank,RegionName,RegionType,StateName,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
102001,0,United States,Country,,167931,171352,174676,175785,176027,175791,176147,178064,179567,180704,180566,181770,183801,187728,190976,193721,194206,194342,194477,194399,195403,195342,195852,196007,196787,198472,200178,200785,201477,200660,200773,201508,202995,204210,204985,206700,209071,211457,212730,212529,211781,212163,212085,213586,214860,216041,215400,215342,216904,219604,221186,221019,220567,221481,223445,225653,226315,226789,227328,228611,230500,231763,233254,233030,233449,233666,235165,236276,237179,238579,240957,243372,245404,245699,245451,244061,243483,243399,244355,245495,246222,247689,248897,251285,252744,254754,255201,255742,255437,256612,258731,260778,262552,263465,266217,269093,270931,268611,266119,268261,274654,282481,288183,292736,294148,294367,296205,301023,307945,313647,318112,320501,322365,324544,327478,331093,333079,334327,337808,344633,357149
394913,1,"New York, NY",Msa,NY,353028,356965,361818,362693,361987,369608,370004,372713,362033,360130,355323,355473,350563,354248,358175,364010,368615,376830,378630,375356,366235,368015,369864,370330,365373,365002,367005,369735,372782,379476,378911,377769,373152,376493,376866,377347,375939,377406,380831,380409,380217,384627,384141,384345,380051,381221,382590,382441,382791,381631,384046,385458,388297,392338,393507,394713,391337,391306,392330,394412,398828,401620,405400,409139,408968,412871,406549,406626,401626,404357,404582,406257,408179,410498,410855,412025,413023,418643,418169,419845,414763,416258,416035,415643,416468,417313,419803,419882,417099,415633,417461,423214,426974,429588,431789,434063,438097,438617,438664,433778,435187,439641,453092,466302,474787,476365,477578,481958,490432,498026,505347,509478,514878,518308,521383,522426,523992,525270,528307,537103,554865
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,371941,375457,378051,377767,383046,386474,392554,396604,406134,411596,416274,422545,435644,451229,461845,462575,466804,467052,471168,474470,481960,486699,492174,495104,496629,499061,500497,504968,509992,512046,513464,512587,513373,516829,522116,526601,528210,526433,528177,527607,531631,530048,531952,534838,542849,549625,551956,552033,553725,559317,564091,564292,565550,566148,571527,574504,577338,580791,582201,588691,592426,596987,597935,600991,605743,610998,612562,615562,617930,619169,625492,630622,635979,636599,639534,642635,645208,644424,647627,648964,646908,643486,641358,643861,646174,643204,643076,648999,653659,658285,657311,661340,666691,673863,677978,682515,677282,670292,665758,678478,700534,720573,733187,738310,739112,739745,747784,760807,777799,795518,808460,815838,818421,822555,826801,832778,843663,856408,871537,885376,919784
394463,3,"Chicago, IL",Msa,IL,170337,176645,182152,184805,184857,183734,179587,180708,178629,179433,176672,176362,178282,184680,193128,198139,200898,200014,198815,198390,198182,198098,196084,196019,195662,201871,207485,209220,209842,208190,207144,205603,204236,203254,203624,207422,211206,216474,216507,214539,210909,210577,210960,212885,212948,211436,209970,211237,216141,221910,221991,218135,213640,212731,213837,216755,219254,221764,224841,228819,231639,232075,230385,227922,224189,222921,222429,225932,228748,231343,235163,237691,238961,236101,232860,230079,226899,227432,228693,232960,234064,236386,239524,241984,241951,239800,236636,234672,233160,234180,237083,240594,243153,243146,244703,247829,251739,248876,242601,240559,246420,256219,265333,268780,270768,268566,270100,271434,272806,276244,277312,278268,277216,278346,281554,285216,287806,289577,293036,297741,304334
394514,4,"Dallas-Fort Worth, TX",Msa,TX,157373,159522,160608,160673,159904,161028,161909,163784,164147,165968,166405,168136,170872,174596,177401,179258,179642,179673,178761,179585,180147,179885,180842,182458,184748,186592,189433,191891,193652,192001,191535,192222,195980,197762,199270,200842,205510,210534,215103,215999,214805,210954,209910,209959,212686,213133,215879,218919,223440,228860,233726,234924,234096,231579,233952,235106,237627,239321,242795,245928,249783,253761,256810,256244,254249,251535,252310,251887,254956,255873,257551,259031,261607,265346,268793,271120,269350,265038,262644,261593,262628,262021,262626,263626,266293,269538,272388,274742,274365,272789,273313,273304,274945,275784,277464,277886,279536,278551,280323,284682,291793,296937,299515,301187,301629,301856,305315,311094,319222,328965,338818,346910,349914,351210,353350,355207,359604,364101,370143,378349,391501
394974,5,"Philadelphia, PA",Msa,PA,204858,208702,213605,215998,216124,214840,214900,216956,218988,219524,216020,215905,214483,217840,221080,224133,226067,225014,223523,222460,222980,222253,219835,219781,218518,220837,222541,223092,224665,223223,223904,224454,224991,223965,220341,221141,220861,224536,225495,225044,221965,221850,223289,225235,222699,220109,221183,223390,224318,227796,230977,231825,229179,227227,228578,229797,232126,231463,230454,229797,232665,236717,240002,238055,235581,231635,231337,231449,233696,233774,235249,237002,239498,241809,239223,237011,236480,238730,239792,239639,239656,241396,241660,245200,247353,250170,249526,250332,250489,249616,249078,249434,251749,254342,257981,261382,268392,268794,265479,261257,263547,271707,277391,279389,280359,280566,281791,281036,282086,284117,287105,289771,293645,296162,297428,297317,296210,297857,299266,300924,308506
394692,6,"Houston, TX",Msa,TX,158650,162799,164510,163579,161725,160423,161552,165461,168445,169309,168683,169563,173825,178804,182073,181951,181191,181224,180390,181460,182808,184928,186651,185215,184820,185008,189463,191277,197116,198498,199506,197672,201908,205007,206949,205748,204751,208093,212204,215497,215382,212492,210205,206760,209247,209796,212196,211314,212496,215400,218976,222343,222542,221178,218924,219113,220977,221331,221703,222952,225137,227115,228613,228279,226638,225683,227121,227610,226562,225834,227371,229205,232726,235818,238424,238629,237057,234503,233131,232531,235120,235612,236463,237303,239230,241885,244918,246135,246686,244845,243927,243690,245780,247016,249741,249669,250766,247954,250093,254475,259824,262351,263690,265593,267989,268584,272405,279031,285108,290780,296099,300563,302216,301239,303087,306133,310356,314504,319945,325460,331616
395209,7,"Washington, DC",Msa,DC,334162,343209,348178,348263,347195,344030,345912,348647,352677,356151,355561,358505,358255,365453,369889,370945,369958,366737,368968,369325,373166,375895,377037,375727,372413,376947,378402,379373,377011,373371,374072,373096,379808,380857,382387,383070,384950,387277,383414,376542,371391,372855,376414,379798,378688,377899,378594,377363,381229,381076,383814,377116,376045,374343,379923,379950,384924,387481,390573,388136,390214,391661,394063,390177,389126,386946,387445,388268,392584,396506,399552,402574,405402,405578,403576,400930,401062,401123,402086,403307,405650,407437,409918,412793,414613,413918,410633,408890,409568,409130,412630,417124,421688,421588,424697,431956,437621,431897,425055,428781,438160,449540,453661,456636,453006,449714,446116,452687,462196,474906,481207,482942,481947,481486,482095,483078,482997,478738,478907,485253,510071
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,154260,156141,159313,159628,160872,162054,162265,163151,163992,169624,173384,179938,181887,188072,192697,195673,200176,201822,200945,200781,201989,205986,205995,211749,211565,218381,221108,225694,224825,223452,223534,225589,228010,231335,234676,240232,239196,241100,240677,241446,239842,238684,236571,234803,237154,240986,245556,246754,247250,247917,249514,248302,247519,248950,251413,253962,253672,255158,257554,261846,264790,265272,266381,264513,266390,265509,265139,265237,265213,268048,269816,274901,277979,278639,277306,275583,274880,274863,277497,280386,281127,280424,281951,286622,288881,288159,285411,286676,288250,290127,293459,298573,300733,301624,302528,306706,311919,313183,312551,311788,316675,323161,328447,329817,330378,333963,340300,346055,350360,352544,355090,355656,357183,358877,363529,367067,373538,380510,389575,401357,420225
394347,9,"Atlanta, GA",Msa,GA,150503,156661,160282,160995,159465,158899,157439,158909,161351,162841,168492,174706,181139,184690,186943,188923,187273,185309,183405,183397,185961,187746,189831,191408,192355,195648,197186,197100,194932,193542,193058,193511,194424,195695,198714,200691,202658,204759,205968,206280,202694,201660,200142,202623,205559,207862,208879,209370,211377,212059,211307,209302,206857,206450,207044,210475,213763,215432,217002,219193,220169,219010,217870,217287,217639,218322,221112,223934,227191,229207,232236,234426,236225,236434,236641,235877,235749,238562,242757,245807,244836,245375,246078,247985,247957,249595,250552,252781,254010,256725,258984,262253,263601,263881,266050,268518,272473,268279,265390,265494,273909,282673,289423,292547,291900,292253,293325,299231,305267,312503,318685,324404,327833,330732,335565,342882,348490,350828,353102,356471,363978
394404,10,"Boston, MA",Msa,MA,322776,328610,334887,336937,335296,329202,329339,334504,338364,336810,334643,333100,335474,339162,344730,345197,346350,347811,353421,355174,358455,362094,362857,364035,357117,359892,360908,362051,362351,360089,361077,360875,366501,370766,374819,373697,371627,372991,373359,373756,374795,374456,374747,376362,379668,382777,379715,381986,383265,389718,392652,393244,392288,394295,394031,398701,399188,404417,406766,414832,416049,418202,413739,412737,410088,413751,419626,425610,427824,427473,433625,440337,450248,450643,450635,448175,448056,445339,445600,445216,443098,444548,449355,455697,455746,459609,461510,462502,459507,460090,462411,462081,466128,470055,480048,487523,497197,494779,489399,486788,495834,512617,521034,522168,519795,518906,527755,536713,548916,558439,568523,573453,574259,569881,569269,570991,575282,575885,574736,583915,610232
395057,11,"San Francisco, CA",Msa,CA,385842,402376,413219,419349,417891,419895,425710,441918,455860,463651,467120,480609,504586,532392,552869,556133,552925,545078,549262,555922,561386,567570,576491,591170,597136,602354,602771,599556,606518,607013,612489,608927,611698,615697,625867,640411,646961,653360,649155,641498,634901,631599,635159,645725,658484,672989,679017,674976,675109,681125,699256,700722,691624,677265,680400,688232,698577,696705,705311,718498,740412,745863,744931,733638,731234,731435,746303,760533,770265,765728,771735,790793,814086,825216,830269,825421,814709,801464,804584,804586,804088,791441,797940,799403,812853,815162,821716,809749,800542,792944,806122,810175,819831,819665,819621,818622,815431,813048,815523,834236,865042,892268,899112,898767,894140,899248,910037,931214,968199,1006655,1025044,1027549,1011880,1008304,1005858,1005373,995651,983720,994597,1030978,1094905
394532,12,"Detroit, MI",Msa,MI,99369,103960,109136,112980,116574,117019,118116,118611,121086,121468,121832,122908,124167,127259,130746,134873,139024,140568,141078,140925,141957,142241,143054,144046,145271,147803,150106,150218,150365,149638,149193,149160,148855,149333,148279,150709,151223,156322,158576,159372,158991,157714,156518,154039,154237,154983,155873,157326,159344,163941,167227,168455,167476,165225,165625,166543,168836,167235,166949,167286,172217,175529,178714,177245,176460,172776,173578,173540,176390,174492,175612,177177,179026,181482,182727,184052,182863,179967,178997,179455,180121,179789,180894,184244,186263,189206,189372,191421,189095,190653,190557,192136,190261,190620,191100,196403,202486,201350,199729,201062,206247,211612,212516,216321,216737,215524,213943,215324,220376,227657,230602,232669,231327,232086,230985,231980,232631,235352,236680,235959,238639
395025,13,"Riverside, CA",Msa,CA,195289,198229,199054,200328,198775,201271,202769,209041,214400,219595,222158,225640,230148,237128,242566,246449,251882,256352,258833,258919,261191,264358,268992,270424,271387,274594,277140,278307,279590,279401,279786,282220,285442,285376,287837,289153,294165,294491,296876,299259,301553,303404,302812,302569,303777,305655,307841,310365,313615,316628,316229,317892,320449,325268,324957,324427,325552,327420,330465,331560,335426,336683,339301,341168,345548,346864,346961,345943,347196,351243,357384,359908,361714,361946,363967,365988,367432,370451,370608,372590,371215,370578,369255,370399,372911,372942,372255,372226,374847,378275,381021,383747,384795,387381,389726,392961,391801,392265,394473,401744,409697,419250,426758,430975,433880,438290,444157,452344,461230,471387,480456,488028,494200,497700,502297,506526,515115,523503,531538,540196,552839
394976,14,"Phoenix, AZ",Msa,AZ,140024,146617,151035,154311,156617,160114,164438,166822,170535,172907,175339,178683,180551,184530,187292,191532,193151,196020,197923,199347,200791,201931,203192,203592,202528,202797,204013,205164,207354,207072,208496,207262,210297,211764,214107,213698,213131,215063,217424,219335,219684,221540,223585,225216,226977,228158,230161,230056,231446,232478,234464,234655,235688,238948,241978,243319,243319,243618,245037,245580,246388,246464,247999,249875,251578,252299,253776,254845,256155,257323,260473,262962,263735,264996,266830,270724,271462,272847,273285,274750,276245,277720,278007,277847,278622,281088,282623,284399,285697,288484,291744,293613,296772,299084,303983,307271,309893,308390,308414,310734,318228,325260,331896,335237,336451,340058,346521,355915,365203,376117,386698,395503,402423,410021,417142,423495,428267,434708,442101,453863,464495
